ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:2001028,positive regulation of endothelial cell chemotaxis,3/173,15/18888,0.000316861347883663,0.208771593989789,0.194924607326593,PRKD2/SEMA5A/SMOC2,3
GO:0050854,regulation of antigen receptor-mediated signaling pathway,5/173,68/18888,0.000397878160092879,0.208771593989789,0.194924607326593,CD226/LPXN/NECTIN2/PRKD2/SH2D1A,5
GO:0050862,positive regulation of T cell receptor signaling pathway,3/173,18/18888,0.000556890445761465,0.208771593989789,0.194924607326593,CD226/NECTIN2/PRKD2,3
GO:0002714,positive regulation of B cell mediated immunity,4/173,42/18888,0.000579908077005988,0.208771593989789,0.194924607326593,CD226/CLCF1/NECTIN2/XCL1,4
GO:0002891,positive regulation of immunoglobulin mediated immune response,4/173,42/18888,0.000579908077005988,0.208771593989789,0.194924607326593,CD226/CLCF1/NECTIN2/XCL1,4
GO:0016064,immunoglobulin mediated immune response,8/173,208/18888,0.000677187906656377,0.208771593989789,0.194924607326593,CD226/CLCF1/FCGR3A/IGHG4/IGHV3-64D/NECTIN2/SANBR/XCL1,8
GO:0019724,B cell mediated immunity,8/173,212/18888,0.000766748967274666,0.208771593989789,0.194924607326593,CD226/CLCF1/FCGR3A/IGHG4/IGHV3-64D/NECTIN2/SANBR/XCL1,8
GO:0030517,negative regulation of axon extension,4/173,46/18888,0.000821755845563071,0.208771593989789,0.194924607326593,NTN1/SEMA3C/SEMA4C/SEMA5A,4
GO:0050856,regulation of T cell receptor signaling pathway,4/173,46/18888,0.000821755845563071,0.208771593989789,0.194924607326593,CD226/NECTIN2/PRKD2/SH2D1A,4
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,11/173,385/18888,0.000867309695514329,0.208771593989789,0.194924607326593,CD226/CLCF1/FCGR3A/IGHG4/IGHV3-64D/IL6R/LY9/NECTIN2/SANBR/SLC11A1/XCL1,11
GO:0050919,negative chemotaxis,4/173,47/18888,0.000891839818985509,0.208771593989789,0.194924607326593,NTN1/SEMA3C/SEMA4C/SEMA5A,4
GO:0050920,regulation of chemotaxis,8/173,229/18888,0.0012596581784441,0.244014969540437,0.227830430426309,IL6R/PRKD2/SEMA3C/SEMA4C/SEMA5A/SMOC2/TNFAIP6/XCL1,8
GO:0099072,regulation of postsynaptic membrane neurotransmitter receptor levels,5/173,88/18888,0.00129105428046361,0.244014969540437,0.227830430426309,ARC/FLOT2/NPTX1/SNAP25/VAC14,5
GO:2001026,regulation of endothelial cell chemotaxis,3/173,24/18888,0.00132668332954024,0.244014969540437,0.227830430426309,PRKD2/SEMA5A/SMOC2,3
GO:0002762,negative regulation of myeloid leukocyte differentiation,4/173,54/18888,0.00150465272951724,0.258298718567126,0.241166795383675,CDK6/CUL4A/NME2/TNFAIP6,4
GO:0048511,rhythmic process,9/173,297/18888,0.00170593751823945,0.261742444630981,0.244382112840944,ATF5/CUL4A/NR1H3/OXTR/PER3/PSPC1/RBM4B/SRRD/TNFAIP6,9
GO:0045638,negative regulation of myeloid cell differentiation,5/173,97/18888,0.00198840477823405,0.261742444630981,0.244382112840944,CDK6/CUL4A/NME2/TNFAIP6/ZFP36L1,5
GO:0048843,negative regulation of axon extension involved in axon guidance,3/173,28/18888,0.00209046983530891,0.261742444630981,0.244382112840944,SEMA3C/SEMA4C/SEMA5A,3
GO:0050857,positive regulation of antigen receptor-mediated signaling pathway,3/173,28/18888,0.00209046983530891,0.261742444630981,0.244382112840944,CD226/NECTIN2/PRKD2,3
GO:0010977,negative regulation of neuron projection development,6/173,146/18888,0.00228246630492917,0.261742444630981,0.244382112840944,GFI1/NTN1/SEMA3C/SEMA4C/SEMA5A/ZNF365,6
GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,3/173,29/18888,0.00231610119883256,0.261742444630981,0.244382112840944,CD226/NECTIN2/SH2D1A,3
GO:0002712,regulation of B cell mediated immunity,4/173,62/18888,0.00250793588782181,0.261742444630981,0.244382112840944,CD226/CLCF1/NECTIN2/XCL1,4
GO:0002889,regulation of immunoglobulin mediated immune response,4/173,62/18888,0.00250793588782181,0.261742444630981,0.244382112840944,CD226/CLCF1/NECTIN2/XCL1,4
GO:0002699,positive regulation of immune effector process,8/173,257/18888,0.00259210560068722,0.261742444630981,0.244382112840944,CD226/CLCF1/COLEC11/NECTIN2/PANX1/SH2D1A/SPON2/XCL1,8
GO:0035767,endothelial cell chemotaxis,3/173,31/18888,0.00281125635327495,0.261742444630981,0.244382112840944,PRKD2/SEMA5A/SMOC2,3
GO:0099590,neurotransmitter receptor internalization,3/173,31/18888,0.00281125635327495,0.261742444630981,0.244382112840944,ARC/SNAP25/VAC14,3
GO:0050771,negative regulation of axonogenesis,4/173,66/18888,0.00314985283208729,0.261742444630981,0.244382112840944,NTN1/SEMA3C/SEMA4C/SEMA5A,4
GO:0002420,natural killer cell mediated cytotoxicity directed against tumor cell target,2/173,10/18888,0.00357648065755917,0.261742444630981,0.244382112840944,CD226/NECTIN2,2
GO:0002855,regulation of natural killer cell mediated immune response to tumor cell,2/173,10/18888,0.00357648065755917,0.261742444630981,0.244382112840944,CD226/NECTIN2,2
GO:0043653,mitochondrial fragmentation involved in apoptotic process,2/173,10/18888,0.00357648065755917,0.261742444630981,0.244382112840944,MFF/NPTX1,2
GO:0002717,positive regulation of natural killer cell mediated immunity,3/173,34/18888,0.00366812860961888,0.261742444630981,0.244382112840944,CD226/NECTIN2/SH2D1A,3
GO:0048841,regulation of axon extension involved in axon guidance,3/173,34/18888,0.00366812860961888,0.261742444630981,0.244382112840944,SEMA3C/SEMA4C/SEMA5A,3
GO:0001912,positive regulation of leukocyte mediated cytotoxicity,4/173,69/18888,0.00369904241037946,0.261742444630981,0.244382112840944,CD226/NECTIN2/SH2D1A/XCL1,4
GO:0050922,negative regulation of chemotaxis,4/173,70/18888,0.00389563816032678,0.261742444630981,0.244382112840944,SEMA3C/SEMA4C/SEMA5A/TNFAIP6,4
GO:0042752,regulation of circadian rhythm,5/173,114/18888,0.0040006811361946,0.261742444630981,0.244382112840944,NR1H3/PER3/PSPC1/RBM4B/SRRD,5
GO:0002423,natural killer cell mediated immune response to tumor cell,2/173,11/18888,0.00434502095522104,0.261742444630981,0.244382112840944,CD226/NECTIN2,2
GO:0060272,embryonic skeletal joint morphogenesis,2/173,11/18888,0.00434502095522104,0.261742444630981,0.244382112840944,COL2A1/SHOX2,2
GO:0071313,cellular response to caffeine,2/173,11/18888,0.00434502095522104,0.261742444630981,0.244382112840944,RYR3/TMEM38A,2
GO:0014015,positive regulation of gliogenesis,4/173,74/18888,0.00475272990943075,0.261742444630981,0.244382112840944,CLCF1/GJC2/NTN1/ZNF365,4
