category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Genetic Information Processing,Information processing in viruses,hsa03250,Viral life cycle - HIV-1,3/89,64/8541,0.0288749023450751,0.892477458409193,0.892477458409193,140564/164668/10955,3
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,5/89,184/8541,0.0427410410992927,0.892477458409193,0.892477458409193,9423/10298/10512/54910/9037,5
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,3/89,76/8541,0.0446047943753013,0.892477458409193,0.892477458409193,51703/10062/729359,3
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,5/89,203/8541,0.0603868644047067,0.892477458409193,0.892477458409193,87/1280/85366/10298/5829,5
Genetic Information Processing,"Folding, sorting and degradation",hsa04120,Ubiquitin mediated proteolysis,4/89,142/8541,0.0605698830684141,0.892477458409193,0.892477458409193,8881/8451/26232/7318,4
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,5/89,205/8541,0.0624544533670193,0.892477458409193,0.892477458409193,87/1021/5829/55697/7419,5
Cellular Processes,Cell growth and death,hsa04216,Ferroptosis,2/89,42/8541,0.0706857917877127,0.892477458409193,0.892477458409193,51703/7419,2
Human Diseases,Infectious disease: viral,hsa05170,Human immunodeficiency virus 1 infection,5/89,213/8541,0.071123947494933,0.892477458409193,0.892477458409193,140564/164668/8451/10298/5829,5
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,4/89,155/8541,0.0781181605644068,0.892477458409193,0.892477458409193,3759/85366/5021/6263,4
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,3/89,97/8541,0.0802650602816621,0.892477458409193,0.892477458409193,2892/8863/6263,3
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,3/89,100/8541,0.0861350120595391,0.892477458409193,0.892477458409193,51554/3570/6375,3
Metabolism,Glycan biosynthesis and metabolism,hsa00533,Glycosaminoglycan biosynthesis - keratan sulfate,1/89,14/8541,0.136500769264666,0.892477458409193,0.892477458409193,8702,1
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,2/89,63/8541,0.139758416091781,0.892477458409193,0.892477458409193,3290/51170,2
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,2/89,69/8541,0.161496577558272,0.892477458409193,0.892477458409193,23237/2892,2
Organismal Systems,Endocrine system,hsa04920,Adipocytokine signaling pathway,2/89,70/8541,0.165178922945607,0.892477458409193,0.892477458409193,51703/6517,2
Metabolism,Lipid metabolism,hsa00061,Fatty acid biosynthesis,1/89,18/8541,0.171997280575163,0.892477458409193,0.892477458409193,51703,1
,,hsa04980,Cobalamin transport and metabolism,1/89,18/8541,0.171997280575163,0.892477458409193,0.892477458409193,166785,1
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,2/89,75/8541,0.183801821966849,0.892477458409193,0.892477458409193,4143/5091,2
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,2/89,76/8541,0.187563903793647,0.892477458409193,0.892477458409193,3759/85366,2
Metabolism,Lipid metabolism,hsa00100,Steroid biosynthesis,1/89,20/8541,0.189200556670339,0.892477458409193,0.892477458409193,1056,1
Human Diseases,Infectious disease: bacterial,hsa05100,Bacterial invasion of epithelial cells,2/89,78/8541,0.195120380708909,0.892477458409193,0.892477458409193,5829/1731,2
Organismal Systems,Nervous system,hsa04721,Synaptic vesicle cycle,2/89,79/8541,0.198913531945819,0.892477458409193,0.892477458409193,6539/6616,2
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,4/89,232/8541,0.22255516963192,0.892477458409193,0.892477458409193,87/85366/10298/5829,4
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,3/89,157/8541,0.224560200570164,0.892477458409193,0.892477458409193,10461/10062/24145,3
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,3/89,157/8541,0.224560200570164,0.892477458409193,0.892477458409193,1021/7419/677,3
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,2/89,86/8541,0.225688819064026,0.892477458409193,0.892477458409193,3779/6616,2
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecules,3/89,158/8541,0.227309846992553,0.892477458409193,0.892477458409193,10666/5819/84189,3
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,3/89,159/8541,0.230066175418149,0.892477458409193,0.892477458409193,78989/2214/4481,3
Organismal Systems,Digestive system,hsa04977,Vitamin digestion and absorption,1/89,26/8541,0.238717994819605,0.892477458409193,0.892477458409193,9227,1
Organismal Systems,Digestive system,hsa04976,Bile secretion,2/89,90/8541,0.241115718120123,0.892477458409193,0.892477458409193,1244/6580,2
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,3/89,166/8541,0.249530095217117,0.892477458409193,0.892477458409193,3779/85366/7419,3
Cellular Processes,Cellular community - eukaryotes,hsa04520,Adherens junction,2/89,93/8541,0.252721176713916,0.892477458409193,0.892477458409193,87/5819,2
Metabolism,Glycan biosynthesis and metabolism,hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,1/89,28/8541,0.254549808814064,0.892477458409193,0.892477458409193,8702,1
Metabolism,Carbohydrate metabolism,hsa00020,Citrate cycle (TCA cycle),1/89,30/8541,0.270056003549396,0.892477458409193,0.892477458409193,5091,1
Human Diseases,Drug resistance: antineoplastic,hsa01523,Antifolate resistance,1/89,30/8541,0.270056003549396,0.892477458409193,0.892477458409193,1244,1
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,4/89,254/8541,0.272563910091364,0.892477458409193,0.892477458409193,85366/5021/6263/7419,4
Metabolism,Carbohydrate metabolism,hsa00030,Pentose phosphate pathway,1/89,31/8541,0.277689068487018,0.892477458409193,0.892477458409193,5226,1
,,hsa04981,Folate transport and metabolism,1/89,31/8541,0.277689068487018,0.892477458409193,0.892477458409193,1244,1
Metabolism,Carbohydrate metabolism,hsa00052,Galactose metabolism,1/89,32/8541,0.2852432016133,0.892477458409193,0.892477458409193,130589,1
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,2/89,105/8541,0.299187474222368,0.892477458409193,0.892477458409193,81578/1280,2
Organismal Systems,Environmental adaptation,hsa04710,Circadian rhythm,1/89,34/8541,0.300117892417398,0.892477458409193,0.892477458409193,8863,1
Human Diseases,Endocrine and metabolic disease,hsa04931,Insulin resistance,2/89,109/8541,0.314610440370327,0.892477458409193,0.892477458409193,10062/6517,2
Human Diseases,Infectious disease: parasitic,hsa05143,African trypanosomiasis,1/89,37/8541,0.321857852516618,0.892477458409193,0.892477458409193,8542,1
Metabolism,Metabolism of cofactors and vitamins,hsa00670,One carbon pool by folate,1/89,39/8541,0.33597881612857,0.892477458409193,0.892477458409193,4143,1
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,2/89,116/8541,0.341417811697374,0.892477458409193,0.892477458409193,5091/5226,2
Organismal Systems,Immune system,hsa04670,Leukocyte transendothelial migration,2/89,116/8541,0.341417811697374,0.892477458409193,0.892477458409193,87/5829,2
Human Diseases,Substance dependence,hsa05033,Nicotine addiction,1/89,41/8541,0.349808974417282,0.892477458409193,0.892477458409193,2892,1
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,1/89,43/8541,0.363354249523581,0.892477458409193,0.892477458409193,51703,1
Organismal Systems,Digestive system,hsa04975,Fat digestion and absorption,1/89,43/8541,0.363354249523581,0.892477458409193,0.892477458409193,1056,1
Environmental Information Processing,Membrane transport,hsa02010,ABC transporters,1/89,45/8541,0.376620444344412,0.892477458409193,0.892477458409193,1244,1
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,4/89,298/8541,0.376817074526029,0.892477458409193,0.892477458409193,51554/23529/3570/6375,4
Metabolism,Carbohydrate metabolism,hsa00620,Pyruvate metabolism,1/89,47/8541,0.389613244906481,0.892477458409193,0.892477458409193,5091,1
Human Diseases,Endocrine and metabolic disease,hsa04930,Type II diabetes mellitus,1/89,47/8541,0.389613244906481,0.892477458409193,0.892477458409193,6517,1
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,6/89,483/8541,0.389930664598557,0.892477458409193,0.892477458409193,1767/2892/6263/10452/7318/7419,6
Organismal Systems,Circulatory system,hsa04270,Vascular smooth muscle contraction,2/89,134/8541,0.408673231663478,0.892477458409193,0.892477458409193,3779/85366,2
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,2/89,134/8541,0.408673231663478,0.892477458409193,0.892477458409193,2214/4068,2
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,3/89,224/8541,0.414593948944264,0.892477458409193,0.892477458409193,8881/55697/7419,3
Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,1/89,51/8541,0.414800836925811,0.892477458409193,0.892477458409193,7419,1
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,3/89,226/8541,0.420195035439981,0.892477458409193,0.892477458409193,1021/3570/5829,3
Metabolism,Amino acid metabolism,hsa00270,Cysteine and methionine metabolism,1/89,52/8541,0.420935433570523,0.892477458409193,0.892477458409193,4143,1
Organismal Systems,Endocrine system,hsa04910,Insulin signaling pathway,2/89,138/8541,0.423192690912104,0.892477458409193,0.892477458409193,2319/6517,2
Cellular Processes,Cell growth and death,hsa04114,Oocyte meiosis,2/89,139/8541,0.426794694886051,0.892477458409193,0.892477458409193,8881/286151,2
Environmental Information Processing,Signal transduction,hsa04371,Apelin signaling pathway,2/89,140/8541,0.430385232476331,0.892477458409193,0.892477458409193,85366/6263,2
Metabolism,Lipid metabolism,hsa00600,Sphingolipid metabolism,1/89,54/8541,0.433014498430775,0.892477458409193,0.892477458409193,91012,1
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,2/89,141/8541,0.433964150482481,0.892477458409193,0.892477458409193,87/2214,2
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,2/89,143/8541,0.441086536631714,0.892477458409193,0.892477458409193,2214/79168,2
Human Diseases,Neurodegenerative disease,hsa05017,Spinocerebellar ataxia,2/89,144/8541,0.444629719849378,0.892477458409193,0.892477458409193,2892/7419,2
Metabolism,Global and overview maps,hsa01212,Fatty acid metabolism,1/89,57/8541,0.450667453232982,0.892477458409193,0.892477458409193,51703,1
Metabolism,Nucleotide metabolism,hsa00240,Pyrimidine metabolism,1/89,58/8541,0.456430135536407,0.892477458409193,0.892477458409193,4831,1
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,1/89,59/8541,0.462133037568384,0.892477458409193,0.892477458409193,5226,1
Environmental Information Processing,Signal transduction,hsa04370,VEGF signaling pathway,1/89,60/8541,0.467776772496045,0.892477458409193,0.892477458409193,5829,1
Organismal Systems,Nervous system,hsa04730,Long-term depression,1/89,60/8541,0.467776772496045,0.892477458409193,0.892477458409193,2892,1
Organismal Systems,Digestive system,hsa04978,Mineral absorption,1/89,61/8541,0.473361947268813,0.892477458409193,0.892477458409193,4501,1
Organismal Systems,Aging,hsa04213,Longevity regulating pathway - multiple species,1/89,62/8541,0.478889162680732,0.892477458409193,0.892477458409193,1410,1
Environmental Information Processing,Signal transduction,hsa04330,Notch signaling pathway,1/89,62/8541,0.478889162680732,0.892477458409193,0.892477458409193,79816,1
Metabolism,Global and overview maps,hsa01240,Biosynthesis of cofactors,2/89,154/8541,0.479370610488679,0.892477458409193,0.892477458409193,4143/4831,2
Metabolism,Amino acid metabolism,hsa00310,Lysine degradation,1/89,63/8541,0.484359013432167,0.892477458409193,0.892477458409193,63976,1
Genetic Information Processing,Replication and repair,hsa03420,Nucleotide excision repair,1/89,63/8541,0.484359013432167,0.892477458409193,0.892477458409193,8451,1
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,2/89,157/8541,0.489537621320845,0.892477458409193,0.892477458409193,3570/10062,2
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,2/89,158/8541,0.492899515863515,0.892477458409193,0.892477458409193,8881/1021,2
Metabolism,Lipid metabolism,hsa00561,Glycerolipid metabolism,1/89,65/8541,0.495128969652621,0.892477458409193,0.892477458409193,1056,1
Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,2/89,159/8541,0.496247711283202,0.892477458409193,0.892477458409193,1021/10062,2
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,1/89,67/8541,0.505676453966072,0.892477458409193,0.892477458409193,130589,1
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,1/89,68/8541,0.510868192884767,0.892477458409193,0.892477458409193,9227,1
Organismal Systems,Endocrine system,hsa04924,Renin secretion,1/89,69/8541,0.516006010757215,0.892477458409193,0.892477458409193,3759,1
Human Diseases,Cancer: specific types,hsa05211,Renal cell carcinoma,1/89,70/8541,0.521090461305209,0.892477458409193,0.892477458409193,10298,1
Genetic Information Processing,Translation,hsa03008,Ribosome biogenesis in eukaryotes,2/89,168/8541,0.525752503127329,0.892477458409193,0.892477458409193,79631/81691,2
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,2/89,168/8541,0.525752503127329,0.892477458409193,0.892477458409193,23529/3570,2
Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,1/89,71/8541,0.526122092629001,0.892477458409193,0.892477458409193,3290,1
Genetic Information Processing,"Folding, sorting and degradation",hsa04141,Protein processing in endoplasmic reticulum,2/89,170/8541,0.532152463975401,0.892477458409193,0.892477458409193,1410/26232,2
Metabolism,Carbohydrate metabolism,hsa00562,Inositol phosphate metabolism,1/89,73/8541,0.536029062235202,0.892477458409193,0.892477458409193,23007,1
Human Diseases,Cancer: specific types,hsa05218,Melanoma,1/89,73/8541,0.536029062235202,0.892477458409193,0.892477458409193,1021,1
Human Diseases,Cancer: specific types,hsa05223,Non-small cell lung cancer,1/89,73/8541,0.536029062235202,0.892477458409193,0.892477458409193,1021,1
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,3/89,271/8541,0.540372038787778,0.892477458409193,0.892477458409193,6263/7318/7419,3
Human Diseases,Drug resistance: antineoplastic,hsa01524,Platinum drug resistance,1/89,75/8541,0.545731194076813,0.892477458409193,0.892477458409193,1244,1
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,1/89,75/8541,0.545731194076813,0.892477458409193,0.892477458409193,1021,1
Human Diseases,Cancer: specific types,hsa05214,Glioma,1/89,76/8541,0.550506757947255,0.892477458409193,0.892477458409193,1021,1
Human Diseases,Cancer: specific types,hsa05212,Pancreatic cancer,1/89,77/8541,0.555232676262989,0.892477458409193,0.892477458409193,1021,1
Human Diseases,Cancer: specific types,hsa05220,Chronic myeloid leukemia,1/89,77/8541,0.555232676262989,0.892477458409193,0.892477458409193,1021,1
Genetic Information Processing,"Folding, sorting and degradation",hsa03018,RNA degradation,1/89,78/8541,0.559909459322133,0.892477458409193,0.892477458409193,51691,1
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,1/89,79/8541,0.564537612237214,0.892477458409193,0.892477458409193,3290,1
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,1/89,79/8541,0.564537612237214,0.892477458409193,0.892477458409193,2214,1
Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,1/89,80/8541,0.56911763498726,0.892477458409193,0.892477458409193,3570,1
Metabolism,Xenobiotics biodegradation and metabolism,hsa00983,Drug metabolism - other enzymes,1/89,81/8541,0.57365002246937,0.892477458409193,0.892477458409193,4831,1
Cellular Processes,Transport and catabolism,hsa04146,Peroxisome,1/89,83/8541,0.582573846114389,0.892477458409193,0.892477458409193,51703,1
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,2/89,189/8541,0.59001963052344,0.892477458409193,0.892477458409193,24145/7419,2
Metabolism,Global and overview maps,hsa01232,Nucleotide metabolism,1/89,85/8541,0.591312942638125,0.892477458409193,0.892477458409193,4831,1
Environmental Information Processing,Signal transduction,hsa04012,ErbB signaling pathway,1/89,86/8541,0.595614402915468,0.892477458409193,0.892477458409193,10298,1
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,2/89,193/8541,0.601516066895048,0.892477458409193,0.892477458409193,5829/6375,2
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,2/89,193/8541,0.601516066895048,0.892477458409193,0.892477458409193,2214/7419,2
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,1/89,89/8541,0.608252003270707,0.892477458409193,0.892477458409193,1280,1
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,1/89,89/8541,0.608252003270707,0.892477458409193,0.892477458409193,6539,1
Cellular Processes,Cell motility,hsa04814,Motor proteins,2/89,197/8541,0.612772200012958,0.892477458409193,0.892477458409193,1767/63971,2
Organismal Systems,Immune system,hsa04662,B cell receptor signaling pathway,1/89,91/8541,0.61645930205261,0.892477458409193,0.892477458409193,79168,1
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,1/89,93/8541,0.624496546091744,0.892477458409193,0.892477458409193,1021,1
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,2/89,205/8541,0.634564500508306,0.892477458409193,0.892477458409193,6517/7419,2
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,3/89,311/8541,0.634579989181995,0.892477458409193,0.892477458409193,1767/2892/7419,3
Organismal Systems,Digestive system,hsa04970,Salivary secretion,1/89,97/8541,0.640074736576967,0.892477458409193,0.892477458409193,6263,1
Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,1/89,98/8541,0.643868359083439,0.892477458409193,0.892477458409193,25865,1
Organismal Systems,Immune system,hsa04666,Fc gamma R-mediated phagocytosis,1/89,99/8541,0.647622441286634,0.892477458409193,0.892477458409193,2214,1
Human Diseases,Cancer: overview,hsa05231,Choline metabolism in cancer,1/89,99/8541,0.647622441286634,0.892477458409193,0.892477458409193,6580,1
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,1/89,100/8541,0.651337390673685,0.892477458409193,0.892477458409193,3570,1
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,1/89,102/8541,0.658651500231565,0.892477458409193,0.892477458409193,2214,1
Genetic Information Processing,Translation,hsa03015,mRNA surveillance pathway,1/89,103/8541,0.66225145478535,0.892477458409193,0.892477458409193,65110,1
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,1/89,103/8541,0.66225145478535,0.892477458409193,0.892477458409193,87,1
Cellular Processes,Transport and catabolism,hsa04137,Mitophagy - animal,1/89,105/8541,0.669339119132331,0.892477458409193,0.892477458409193,10452,1
,,hsa04081,Hormone signaling,2/89,219/8541,0.670410202284462,0.892477458409193,0.892477458409193,5021/6567,2
Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,1/89,106/8541,0.672827599264766,0.892477458409193,0.892477458409193,1056,1
Genetic Information Processing,Translation,hsa03013,Nucleocytoplasmic transport,1/89,108/8541,0.679695751933664,0.892477458409193,0.892477458409193,65110,1
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,1/89,108/8541,0.679695751933664,0.892477458409193,0.892477458409193,7050,1
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,3/89,333/8541,0.680463184457548,0.892477458409193,0.892477458409193,1021/1280/5829,3
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,1/89,109/8541,0.683076171485176,0.892477458409193,0.892477458409193,3570,1
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,1/89,110/8541,0.686421311515753,0.892477458409193,0.892477458409193,3570,1
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,2/89,226/8541,0.687256915649345,0.892477458409193,0.892477458409193,2892/5021,2
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,2/89,227/8541,0.689605961042931,0.892477458409193,0.892477458409193,25865/7419,2
Organismal Systems,Endocrine system,hsa04914,Progesterone-mediated oocyte maturation,1/89,111/8541,0.689731536076907,0.892477458409193,0.892477458409193,8881,1
,,hsa04820,Cytoskeleton in muscle cells,2/89,232/8541,0.701137542000037,0.892477458409193,0.892477458409193,9172/79188,2
Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",1/89,115/8541,0.702630431453945,0.892477458409193,0.892477458409193,10893,1
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,1/89,116/8541,0.705771410756177,0.892477458409193,0.892477458409193,2892,1
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,1/89,116/8541,0.705771410756177,0.892477458409193,0.892477458409193,3759,1
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,2/89,235/8541,0.707887042869023,0.892477458409193,0.892477458409193,51703/63976,2
Environmental Information Processing,Signal transduction,hsa04071,Sphingolipid signaling pathway,1/89,122/8541,0.723940060227809,0.892477458409193,0.892477458409193,91012,1
Environmental Information Processing,Signal transduction,hsa04152,AMPK signaling pathway,1/89,122/8541,0.723940060227809,0.892477458409193,0.892477458409193,6517,1
Organismal Systems,Immune system,hsa04660,T cell receptor signaling pathway,1/89,122/8541,0.723940060227809,0.892477458409193,0.892477458409193,10298,1
Organismal Systems,Endocrine system,hsa04919,Thyroid hormone signaling pathway,1/89,122/8541,0.723940060227809,0.892477458409193,0.892477458409193,6567,1
