ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,7/103,133/11091,0.000231872535068584,0.102719533035383,0.102023915430177,4345/10666/342510/1280/2214/5819/4068,7
R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,3/103,42/11091,0.00686768615040553,0.651950345120843,0.647535331497,8542/78989/4481,3
R-HSA-112310,Neurotransmitter release cycle,3/103,51/11091,0.0117322945990945,0.651950345120843,0.647535331497,6580/6539/6616,3
R-HSA-181430,Norepinephrine Neurotransmitter Release Cycle,2/103,18/11091,0.0118611876320481,0.651950345120843,0.647535331497,6580/6616,2
R-HSA-446353,Cell-extracellular matrix interactions,2/103,18/11091,0.0118611876320481,0.651950345120843,0.647535331497,87/5829,2
R-HSA-3000480,Scavenging by Class A Receptors,2/103,19/11091,0.0131770339993284,0.651950345120843,0.647535331497,78989/4481,2
R-HSA-442660,Na+/Cl- dependent neurotransmitter transporters,2/103,19/11091,0.0131770339993284,0.651950345120843,0.647535331497,6580/6539,2
R-HSA-888590,"GABA synthesis, release, reuptake and degradation",2/103,19/11091,0.0131770339993284,0.651950345120843,0.647535331497,6539/6616,2
R-HSA-112316,Neuronal System,9/103,410/11091,0.0138669406010008,0.651950345120843,0.647535331497,2319/2892/3759/3779/24145/6580/6539/84189/6616,9
R-HSA-8849932,Synaptic adhesion-like molecules,2/103,21/11091,0.0159888107957445,0.651950345120843,0.647535331497,2319/2892,2
R-HSA-3296482,Defects in vitamin and cofactor metabolism,2/103,22/11091,0.0174823317006071,0.651950345120843,0.647535331497,166785/5091,2
R-HSA-2453902,The canonical retinoid cycle in rods (twilight vision),2/103,23/11091,0.0190326959536678,0.651950345120843,0.647535331497,285440/9227,2
R-HSA-9748784,Drug ADME,4/103,110/11091,0.0191317257033205,0.651950345120843,0.647535331497,1244/3290/4831/6580,4
R-HSA-6783589,Interleukin-6 family signaling,2/103,24/11091,0.0206387405275265,0.653068718121018,0.64864613086512,23529/3570,2
R-HSA-70263,Gluconeogenesis,2/103,26/11091,0.0240132999841449,0.655236100370169,0.650798835582109,5091/54020,2
R-HSA-425407,SLC-mediated transmembrane transport,6/103,249/11091,0.0283334103459696,0.655236100370169,0.650798835582109,6556/6567/6580/6517/55089/6539,6
R-HSA-352230,Amino acid transport across the plasma membrane,2/103,33/11091,0.0374147854488194,0.655236100370169,0.650798835582109,55089/6539,2
R-HSA-9687139,Aberrant regulation of mitotic cell cycle due to RB1 defects,2/103,35/11091,0.0416634631746528,0.655236100370169,0.650798835582109,8881/1021,2
R-HSA-425366,"Transport of bile salts and organic acids, metal ions and amine compounds",3/103,83/11091,0.0418947254897766,0.655236100370169,0.650798835582109,6556/6580/6539,3
R-HSA-196071,Metabolism of steroid hormones,2/103,36/11091,0.0438527058775322,0.655236100370169,0.650798835582109,3290/51170,2
R-HSA-6794362,Protein-protein interactions at synapses,3/103,86/11091,0.0457546500830296,0.655236100370169,0.650798835582109,2319/2892/84189,3
R-HSA-1660661,Sphingolipid de novo biosynthesis,2/103,37/11091,0.0460839256860849,0.655236100370169,0.650798835582109,91012/25865,2
R-HSA-5083635,Defective B3GALTL causes PpS,2/103,37/11091,0.0460839256860849,0.655236100370169,0.650798835582109,9037/10417,2
R-HSA-9675126,Diseases of mitotic cell cycle,2/103,37/11091,0.0460839256860849,0.655236100370169,0.650798835582109,8881/1021,2
R-HSA-5173214,O-glycosylation of TSR domain-containing proteins,2/103,38/11091,0.0483561709538458,0.655236100370169,0.650798835582109,9037/10417,2
