ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0019336,phenol-containing compound catabolic process,3/157,12/18888,0.000117313141708928,0.107381233012351,0.0992187845557213,FAH/MAOB/PDE1B,3
GO:0048934,peripheral nervous system neuron differentiation,3/157,15/18888,0.00023821673030493,0.107381233012351,0.0992187845557213,HOXD9/NEFH/ONECUT2,3
GO:0048935,peripheral nervous system neuron development,3/157,15/18888,0.00023821673030493,0.107381233012351,0.0992187845557213,HOXD9/NEFH/ONECUT2,3
GO:0050804,modulation of chemical synaptic transmission,13/157,493/18888,0.000248631522259216,0.107381233012351,0.0992187845557213,ADGRB1/ADRA2A/CALB2/EGR2/NEFH/NLGN4X/NOG/RIMS1/SLC1A3/SNAP25/SNCAIP/SYBU/TACR2,13
GO:0099177,regulation of trans-synaptic signaling,13/157,494/18888,0.000253540500710808,0.107381233012351,0.0992187845557213,ADGRB1/ADRA2A/CALB2/EGR2/NEFH/NLGN4X/NOG/RIMS1/SLC1A3/SNAP25/SNCAIP/SYBU/TACR2,13
GO:0002385,mucosal immune response,4/157,38/18888,0.000272122729554515,0.107381233012351,0.0992187845557213,H2BC4/H2BC8/NOS2/PIGR,4
GO:0090083,regulation of inclusion body assembly,3/157,17/18888,0.000351694871862806,0.107381233012351,0.0992187845557213,CLU/HSPA2/SNCAIP,3
GO:0018958,phenol-containing compound metabolic process,6/157,113/18888,0.000364195135069716,0.107381233012351,0.0992187845557213,CPQ/DIO2/FAH/MAOB/PDE1B/SNCAIP,6
GO:0002251,organ or tissue specific immune response,4/157,42/18888,0.00040212857195963,0.107381233012351,0.0992187845557213,H2BC4/H2BC8/NOS2/PIGR,4
GO:0060348,bone development,8/157,215/18888,0.000443357692041088,0.107381233012351,0.0992187845557213,BMPR1B/CBS/CLDN18/GPR68/HSD17B1/NSD2/RUNX2/TULP3,8
GO:0010721,negative regulation of cell development,9/157,288/18888,0.000696254726974654,0.137880837311315,0.12740000005383,CEBPA/CLDN18/FRZB/GPR68/NOG/PIK3R1/SEMA4A/SEMA6D/SFRP1,9
GO:0023061,signal release,12/157,487/18888,0.000783710640423255,0.137880837311315,0.12740000005383,ADRA2A/GPR68/MAOB/NOS2/POMC/RIMS1/SFRP1/SNAP25/SNCAIP/SV2A/SYBU/TACR2,12
GO:0007422,peripheral nervous system development,5/157,90/18888,0.000926821403358949,0.137880837311315,0.12740000005383,ADGRB1/EGR2/HOXD9/NEFH/ONECUT2,5
GO:0009953,dorsal/ventral pattern formation,5/157,90/18888,0.000926821403358949,0.137880837311315,0.12740000005383,BMPR1B/GREM2/NOG/SFRP1/TULP3,5
GO:1901606,alpha-amino acid catabolic process,5/157,90/18888,0.000926821403358949,0.137880837311315,0.12740000005383,ASRGL1/CBS/FAH/HAAO/NOS2,5
GO:0070841,inclusion body assembly,3/157,24/18888,0.00100308171380614,0.137880837311315,0.12740000005383,CLU/HSPA2/SNCAIP,3
GO:0002762,negative regulation of myeloid leukocyte differentiation,4/157,54/18888,0.0010517482526151,0.137880837311315,0.12740000005383,CLDN18/GPR68/PIK3R1/SFRP1,4
GO:0014033,neural crest cell differentiation,5/157,93/18888,0.00107438634072611,0.137880837311315,0.12740000005383,FRZB/NRTN/SEMA4A/SEMA6D/SFRP1,5
GO:0008045,motor neuron axon guidance,3/157,26/18888,0.00127295668175175,0.137880837311315,0.12740000005383,ALCAM/EGR2/NOG,3
GO:0009065,glutamine family amino acid catabolic process,3/157,26/18888,0.00127295668175175,0.137880837311315,0.12740000005383,ASRGL1/FAH/NOS2,3
