"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "Ensembl_ID" "Gene.name"
"ENSG00000206075.14" -0.965390274230931 2.40215756917113 -8.37267346748887 1.73531967019586e-16 3.15619941615223e-12 26.7637668582422 "ENSG00000206075.14" "SERPINB5"
"ENSG00000182175.14" -0.474457493956087 3.14920596495854 -8.19226579551025 7.21228110256276e-16 6.55884843467058e-12 25.3838370759354 "ENSG00000182175.14" "RGMA"
"ENSG00000165379.13" -0.80529948304802 -0.930139011106128 -8.01199943867029 2.91578574992214e-15 1.35177693251472e-11 23.6101012284699 "ENSG00000165379.13" "LRFN5"
"ENSG00000211890.4" -1.32676512824632 5.18117461098534 -8.00947178017806 2.97289846605392e-15 1.35177693251472e-11 24.0088628060525 "ENSG00000211890.4" "IGHA2"
"ENSG00000139200.14" -0.757586383402176 -0.895666140957627 -7.95176553017345 4.62262570025972e-15 1.68152632472647e-11 23.1885866018395 "ENSG00000139200.14" "PIANP"
"ENSG00000140557.12" -0.991860336765501 -0.523736667043842 -7.80845236636406 1.36720164845993e-14 4.14444393036486e-11 22.1984682049911 "ENSG00000140557.12" "ST8SIA2"
"ENSG00000120659.15" -0.874282059480113 -0.443184608809897 -7.77769058829021 1.72169664537575e-14 4.47345979801344e-11 21.9834340264231 "ENSG00000120659.15" "TNFSF11"
"ENSG00000119866.22" -0.570957284802862 1.48954240004955 -7.64091086942984 4.75349600639922e-14 1.08070731705486e-10 21.324940619347 "ENSG00000119866.22" "BCL11A"
"ENSG00000174607.11" -0.710758039807635 0.416340119169495 -7.25777001670761 7.520838073235e-13 1.51987780973331e-09 18.6543188335383 "ENSG00000174607.11" "UGT8"
"ENSG00000113396.13" -0.962060682643372 -0.131859926906806 -7.17464841168162 1.34692500928043e-12 2.44978720687925e-09 17.9557455735762 "ENSG00000113396.13" "SLC27A6"
"ENSG00000171243.8" -0.934777158004093 0.109794520555383 -7.15190169930145 1.57817739062645e-12 2.60944458006491e-09 17.9037067576561 "ENSG00000171243.8" "SOSTDC1"
"ENSG00000091831.24" 0.778314438953414 7.46343212218432 7.12359126902094 1.92102331250103e-12 2.91163100064739e-09 17.7338724631198 "ENSG00000091831.24" "ESR1"
"ENSG00000073282.14" -0.957668164489095 2.49642973467245 -7.06670672465191 2.84568049996306e-12 3.98132591794831e-09 17.3169071820551 "ENSG00000073282.14" "TP63"
"ENSG00000113578.18" -0.513123508114752 3.40046716328855 -6.96195572421577 5.82510883537173e-12 7.05052061649077e-09 16.6794390617886 "ENSG00000113578.18" "FGF1"
"ENSG00000211898.7" -1.26090225574005 0.537276807612221 -6.95981890251583 5.91028181373048e-12 7.05052061649077e-09 16.5623333767511 "ENSG00000211898.7" "IGHD"
"ENSG00000203727.4" -0.619132241174556 1.42681640265952 -6.95271432768116 6.202349343735e-12 7.05052061649077e-09 16.5528772233223 "ENSG00000203727.4" "SAMD5"
"ENSG00000152495.11" -0.533786328172986 1.80525870766036 -6.85432506039808 1.20428586245884e-11 1.28844419214126e-08 15.9308832518064 "ENSG00000152495.11" "CAMK4"
"ENSG00000078053.17" -0.753863395303091 2.25148606878194 -6.83883824590773 1.3358592444805e-11 1.34981155214507e-08 15.8059726499811 "ENSG00000078053.17" "AMPH"
"ENSG00000109321.11" -1.24564028625625 3.49144150278607 -6.79468011509514 1.79336346196923e-11 1.7167207708577e-08 15.5833900753921 "ENSG00000109321.11" "AREG"
"ENSG00000105825.14" -1.12563907723054 1.32585422896043 -6.74915575878946 2.42533045380977e-11 2.18462621065432e-08 15.2284766230662 "ENSG00000105825.14" "TFPI2"
"ENSG00000159216.19" -0.295206554937939 7.52337630199944 -6.74321872238939 2.52238566218059e-11 2.18462621065432e-08 15.2140498816814 "ENSG00000159216.19" "RUNX1"
"ENSG00000189184.12" -0.459768365811356 4.17027946696948 -6.72292392182728 2.88378137261809e-11 2.38410070932626e-08 15.1452395577462 "ENSG00000189184.12" "PCDH18"
"ENSG00000104332.12" -0.797043779991174 5.09991897662967 -6.71247563144591 3.08915559249975e-11 2.44285051810371e-08 15.0353731792052 "ENSG00000104332.12" "SFRP1"
"ENSG00000086570.12" -0.723745207393153 1.90930934526208 -6.67345132760759 3.99089510701466e-11 3.02443334193261e-08 14.8458223124102 "ENSG00000086570.12" "FAT2"
"ENSG00000061337.15" -0.357044386768991 3.7764682875047 -6.66587458909053 4.19372587071993e-11 3.05101944546616e-08 14.7949382363665 "ENSG00000061337.15" "LZTS1"
"ENSG00000100146.18" -1.05213838185996 1.33542481169697 -6.61915467356005 5.68697669840208e-11 3.63589338961888e-08 14.4945022181545 "ENSG00000100146.18" "SOX10"
