"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "Ensembl_ID" "Gene.name"
"ENSG00000123500.10" 7.53837975431219 3.23557132882313 37.5885978574652 5.45335676010026e-98 9.65844015781357e-94 213.125038023589 "ENSG00000123500.10" "COL10A1"
"ENSG00000099953.10" 6.13055659122771 5.2354539870091 32.6245887268358 1.83336012286536e-86 1.62353205680342e-82 186.808830809752 "ENSG00000099953.10" "MMP11"
"ENSG00000165197.5" -5.69218139293982 1.94232397135252 -31.9834679319757 6.87250131648453e-85 3.7641241737198e-81 183.129471171338 "ENSG00000165197.5" "VEGFD"
"ENSG00000119771.15" -2.96757481357536 3.21308167695675 -31.9460989747053 8.50121206870261e-85 3.7641241737198e-81 182.955755211575 "ENSG00000119771.15" "KLHL29"
"ENSG00000136158.12" -2.64373938026072 4.6976443543375 -29.8055989206661 2.18062063540527e-79 7.72419441473254e-76 170.618259959351 "ENSG00000136158.12" "SPRY2"
"ENSG00000154736.6" -3.14321997911929 5.23575401994224 -28.4795735158921 6.44173763037867e-76 1.90149358619395e-72 162.651484766128 "ENSG00000154736.6" "ADAMTS5"
"ENSG00000149090.12" -3.8246822854808 4.06906138437073 -28.0693224893949 7.97346337725785e-75 2.01740014106591e-71 160.133298430953 "ENSG00000149090.12" "PAMR1"
"ENSG00000187824.9" -2.40226502422956 2.56785102833739 -27.9353849562354 1.82107186589963e-74 4.03162547711855e-71 159.256942902081 "ENSG00000187824.9" "TMEM220"
"ENSG00000117650.13" 4.61636822613365 2.12811998918597 27.5102677013987 2.54204522658075e-73 5.00246255644131e-70 156.64759941628 "ENSG00000117650.13" "NEK2"
"ENSG00000090889.12" 4.08727699997619 2.49367140129894 27.4330213096756 4.11395248559538e-73 7.28622124723799e-70 156.177178134824 "ENSG00000090889.12" "KIF4A"
"ENSG00000198932.13" -2.28626267454856 3.61753958176443 -26.8933394117144 1.21338278382842e-71 1.95365658948955e-68 152.826202738178 "ENSG00000198932.13" "GPRASP1"
"ENSG00000137225.13" -3.0348293292896 1.23928899471505 -26.8715092856429 1.39245699008307e-71 2.05515047928011e-68 152.558716746784 "ENSG00000137225.13" "CAPN11"
"ENSG00000122641.11" 3.68702462418012 4.57588437605713 26.8385736083303 1.71406974759384e-71 2.33522225381803e-68 152.489275182613 "ENSG00000122641.11" "INHBA"
"ENSG00000161649.13" -6.28191711582061 2.80868758838457 -26.8203387890161 1.92317552287302e-71 2.43295440611457e-68 152.364222285452 "ENSG00000161649.13" "CD300LG"
"ENSG00000167641.11" -3.42556156742384 2.3233536498973 -26.8069867711327 2.09235188222081e-71 2.47050961240086e-68 152.254068514451 "ENSG00000167641.11" "PPP1R14A"
"ENSG00000286289.1" -3.24103373002326 1.23970653563858 -26.7666669339396 2.69938254227263e-71 2.98804776288691e-68 151.909408017763 "ENSG00000286289.1" "AL133482.1"
"ENSG00000119147.10" -5.0926647167564 2.23466684485348 -26.6033636016967 7.59001327283286e-71 7.90745441618487e-68 150.981651603886 "ENSG00000119147.10" "ECRG4"
"ENSG00000137070.18" -1.92057790201778 3.34841712744681 -26.5363520470096 1.161185142043e-70 1.14254166948465e-67 150.571902583738 "ENSG00000137070.18" "IL11RA"
"ENSG00000165072.10" -3.23169008523477 3.56091245482701 -26.4509376577411 1.99814440278005e-70 1.86258607987565e-67 150.036326657233 "ENSG00000165072.10" "MAMDC2"
"ENSG00000168497.5" -4.25828983693757 4.61696895932262 -26.3642133575394 3.47036126443748e-70 3.07317841772261e-67 149.489691293803 "ENSG00000168497.5" "CAVIN2"
"ENSG00000088325.16" 3.54210564093012 4.21818279470728 26.2756649012539 6.1036414703297e-70 5.14769495623854e-67 148.926598631978 "ENSG00000088325.16" "TPX2"
"ENSG00000177098.9" -2.82673535790716 4.16841790419028 -26.1169413154953 1.68348369169823e-69 1.35528089380307e-66 147.915084399331 "ENSG00000177098.9" "SCN4B"
"ENSG00000143228.13" 3.68149054018991 1.90036498887527 26.0726379199215 2.23584547195299e-69 1.72169822407649e-66 147.592164282172 "ENSG00000143228.13" "NUF2"
"ENSG00000108924.14" -3.58667968749012 3.98659377244861 -26.0326870052071 2.88841721354508e-69 2.13153155287904e-66 147.376695163216 "ENSG00000108924.14" "HLF"
"ENSG00000154263.17" -4.1384008405024 2.18324969953034 -25.9488726945638 4.94619880259043e-69 3.50408507970716e-66 146.816851480156 "ENSG00000154263.17" "ABCA10"
"ENSG00000169679.15" 3.47857743001761 2.85411829107173 25.9059079201362 6.51889732845797e-69 4.44062271478151e-66 146.556681643991 "ENSG00000169679.15" "BUB1"
"ENSG00000163431.13" -2.85606019354545 5.29667245314732 -25.8799745506693 7.70186163755423e-69 5.05213598010085e-66 146.391793392384 "ENSG00000163431.13" "LMOD1"
"ENSG00000011426.11" 3.55763757083599 3.499041438939 25.8287377355173 1.07099596203045e-68 6.77443195840046e-66 146.069709764422 "ENSG00000011426.11" "ANLN"
"ENSG00000241684.6" -3.59367152319938 0.732151734794713 -25.7177943952325 2.18944709776078e-68 1.33714819132556e-65 145.230209331376 "ENSG00000241684.6" "ADAMTS9-AS2"
